artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Toosii,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,85,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,208630,4
Feid,Classy 101,6XSqqQIy7Lm7SnwxS4NrGx,97,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4
Taylor Swift,Last Kiss (Taylor's Version),59KOoHFcw5XfICnO57holu,84,0.55,0.366,10,-8.46,1,0.0276,0.447,4.43e-06,0.101,0.16,79.401,369120,3
Taylor Swift,Never Grow Up (Taylor's Version),2EFZ9emtKWEglWUQGEQ3P9,83,0.685,0.323,2,-7.103,1,0.0289,0.851,0.0,0.198,0.569,125.058,292920,4
Fuerza Regida,SABOR FRESA,1UMm1Qs3u59Wvk53zBUE8r,92,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,156501,3
Taylor Swift,Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,84,0.375,0.65,0,-4.031,1,0.0402,0.0122,0.0,0.189,0.0752,203.89,317960,4
Taylor Swift,Innocent (Taylor's Version),12nBPF4Rh4XLFJV0YLN7uj,83,0.522,0.598,1,-5.327,0,0.0284,0.101,0.0,0.152,0.149,133.627,301222,4
d4vd,Here With Me,5LrN7yUQAzvthd4QujgPFr,93,0.571,0.458,4,-9.283,1,0.0258,0.544,9.27e-05,0.123,0.299,132.025,242485,4
Taylor Swift,Ours (Taylor’s Version),3yNJkriPzWjkkDAWHIAVUq,82,0.535,0.488,0,-8.261,1,0.0278,0.449,0.0,0.111,0.348,159.813,235803,4
Morgan Wallen,One Thing At A Time,1rXq0uoV4KTgRN64jXzIxo,83,0.613,0.914,7,-5.153,1,0.03,0.00522,2.21e-06,0.26,0.916,141.978,206865,4
Bailey Zimmerman,Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,83,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,207541,3
Young Thug,Oh U Went (feat. Drake),7qLr3HMApUbyDkUvgIvHnB,85,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,185333,4
Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),41bmnQZoDMQdDh5zyomtW7,85,0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,216704,4
Morgan Wallen,Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,83,0.53,0.678,6,-6.16,1,0.0278,0.506,6.23e-06,0.138,0.508,140.05,215572,4
Oscar Maydon,Fin de Semana,6TBzRwnX2oYd8aOrOuyK1p,91,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4
Taylor Swift,Superman (Taylor’s Version),4evLyY5Ue1Wesc61t2KXAU,81,0.533,0.742,7,-3.473,1,0.0303,0.0031,0.0,0.108,0.356,131.93,274945,4
Taylor Swift,Hits Different,3xYJScVfxByb61dYHTwiby,88,0.672,0.782,5,-6.499,1,0.0421,0.148,4.73e-06,0.296,0.239,106.026,234467,4
Bailey Zimmerman,Religiously,0bILU0UiNDmA5Ff6whhb2R,83,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,178723,4
ROSALÍA,BESO,609E1JCInJncactoMmkDon,95,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,194543,4
Kali Uchis,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,88,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723,4
El Alfa,PLEBADA,7uSLF2yhpjLlYBLtyPX3Lb,88,0.847,0.988,9,-0.517,1,0.103,0.283,0.000942,0.345,0.699,115.057,223174,4
Lil Uzi Vert,Suicide Doors,3fDTzkvrOo5xQIO480Qmsb,84,0.538,0.783,11,-2.565,0,0.222,0.0113,0.0,0.281,0.553,75.388,259080,4
Lil Uzi Vert,Aye (feat. Travis Scott),2Hc1LaV6bzFil3dE71eORA,85,0.777,0.604,9,-4.452,0,0.0397,0.000713,5.64e-05,0.151,0.121,111.998,207836,4
RAYE,Escapism.,5mHdCZtVyb4DcJw8799hZp,91,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,4
Megan Moroney,Tennessee Orange,6DLbBlGIOjjEj0dNN25zhZ,82,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,223120,3
The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki,92,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,232857,4
Tyler Hubbard,Dancin’ In The Country,2KtGiBi5CrX2ERPD2PAS34,82,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,179640,4
Eslabon Armado,Así Lo Quiso Dios,6X5WZbJzXtk6aO03HlxuZ9,89,0.698,0.664,8,-4.027,0,0.0406,0.302,0.0,0.268,0.747,144.981,205300,3
Old Dominion,Memory Lane,5kB6WithhB8Iv08EMNmAbt,82,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,172480,4
BTS,Take Two,5IAESfJjmOYu7cHyX557kz,95,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4
Jelly Roll,Need A Favor,5twSy6ffBrF03mnNUsUgJZ,82,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,197400,4
Zach Bryan,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1,82,0.447,0.441,0,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,290892,4
Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),3bkpVSoNvBkvt9LJMFT5at,84,0.73,0.729,10,-3.939,0,0.203,0.0602,0.0,0.3,0.885,93.159,150968,4
Peso Pluma,Las Morras,7Lkxvfl2rkNYWS4kBDCQtN,89,0.777,0.841,9,-4.641,0,0.0407,0.312,7.58e-05,0.0706,0.901,133.007,155173,3
Eden Muñoz,Abcdario,0qCPD6ilr9nXkI4KVZgcns,90,0.703,0.429,8,-9.076,1,0.0308,0.783,1.48e-06,0.113,0.416,129.034,220650,4
Peso Pluma,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,90,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,212878,3
